Comentario_Procesado,Criterio,Polaridad
 caratula  errores ortograficos,Documento,1
 estructura  documento  visualiza correctamente tambien cuenta   mayoria   elementos solicitados   cuenta  herencias   ciertos casos  uso   realizaron   sintaxis correcta,Estructura,0
 existen herencias  relacion   casos  uso  estan correctamente disenados  existe  orden  contiene errores  comunicacion existen casos  uso  aislados   aplicacion   include    correcta   casos  uso  cancelar reserva  validar usuario  ademas   haber ninguna relacion  incluye mas casos  uso  consultar reserva  existe concordancia,Procedimiento,-1
 existir tantos errores   procedimientos  notorio   pocos  casos  uso   buen funcionamiento,Funcionamiento,-1
 caratula  errores ortograficos,Documento,1
estructura  contiene codigo prioridad,Estructura,-1
  procedimiento aplica correctamente  include extends  herencia,Procedimiento,1
  funcionamiento  falta  include   hora  registrar  contrato  furgoneta  verficar si  disponibilidad  furgoneta,Funcionamiento,-1
 caratula  errores ortograficos,Documento,1
 sintaxis   casos  uso  correcta  embargo dentro   estructura  casos  usos  cuentan   codigo  prioridad,Estructura,0
 caso  uso cancelar reserva   include   caso  uso validar usuario  embrago  existe  secuencia logica    existe conexion   caso  uso registrar cliente,Procedimiento,-1
  casos  uso  existe  requerimiento   altas  bajas   vehiculos     existen vehiculos registrados   casos  usos registrar contrato  furgoneta  automovil  existe  secuencia logica    consulta si existe    reserva  dicho vehiculo    quiere generar  contrato,Funcionamiento,-1
 caratula  errores ortograficos,Documento,1
  facil  entender    casos  uso   estan bien definidos   ultimo  casos  uso    relacion   caso  islas,Estructura,-1
   utilizado  extends  herencia   caso  estudio     logica requerida   respectiva factibilidad,Procedimiento,-1
 cumple    requerimientos solicitados    funcionalidades,Funcionamiento,-1
excelente presentacion   caratula contiene   elementos requeridos,Documento,1
falto ubicar  codigo  orden  cada caso  uso,Estructura,-1
 casos  uso  presenta  correcta secuencia logica  ejemplo  caso  uso consultar reserva  validar reserva  presenta logica alguna,Procedimiento,-1
 diagrama  caso  uso  presenta  correcta funcionabilidad debido   falta  correctas interacciones,Funcionamiento,-1
si posee   parametros indicados   caratula   posee errores ortograficos,Documento,1
 estructura   ordenada dificultando  entendimiento  diagrama  sintaxis utilizada    correcta  casos  uso  presentan  verbo  infinitivo mas  objeto  casos  uso  presentan codigo  existen islas,Estructura,-1
 solucion presentada  pocos procesos  secuencia logica    correcta aplicacion  include  extend,Procedimiento,-1
 solucion  posee  correcta funcionalidad     requerimientos  caso  estudio ademas  casos  uso  demuestran  interaccion   objeto,Funcionamiento,-1
 caratula contiene errores ortograficos,Documento,-1
 documento   sintaxis  contiene  codigo  cada caso  uso respectivo,Estructura,-1
 documento contiene  manera correcta  procesos,Procedimiento,1
 solucion solo cumple   requerimientos especialmente   requerimientos  empleado  tomar  empleado  sistema,Funcionamiento,0
 estructura   caratula   contenido  correctos    descripcion  problema    encontrado faltas ortograficas,Documento,1
 casos  uso estan separados   islas  sentido   flechas   include   extend depende   funcionalidad  existen   codigo  casos  uso  sistema    usuario     estructura  visualiza  dificultad debido   contiene  elementos  sintaxis   correcta    ordenada,Estructura,-1
