"Texto_Completo","Polaridad"
"Documento:  caratula  errores ortograficos",1
"Estructura:  estructura  documento  visualiza correctamente tambien cuenta   mayoria   elementos solicitados   cuenta  herencias   ciertos casos  uso   realizaron   sintaxis correcta",0
"Procedimiento:  existen herencias  relacion   casos  uso  estan correctamente disenados  existe  orden  contiene errores  comunicacion existen casos  uso  aislados   aplicacion   include    correcta   casos  uso  cancelar reserva  validar usuario  ademas   haber ninguna relacion  incluye mas casos  uso  consultar reserva  existe concordancia",-1
"Funcionamiento:  existir tantos errores   procedimientos  notorio   pocos  casos  uso   buen funcionamiento",-1
"Documento:  caratula  errores ortograficos",1
"Estructura: estructura  contiene codigo prioridad",-1
"Procedimiento:   procedimiento aplica correctamente  include extends  herencia",1
"Funcionamiento:   funcionamiento  falta  include   hora  registrar  contrato  furgoneta  verficar si  disponibilidad  furgoneta",-1
"Documento:  caratula  errores ortograficos",1
"Estructura:  sintaxis   casos  uso  correcta  embargo dentro   estructura  casos  usos  cuentan   codigo  prioridad",0
"Procedimiento:  caso  uso cancelar reserva   include   caso  uso validar usuario  embrago  existe  secuencia logica    existe conexion   caso  uso registrar cliente",-1
"Funcionamiento:   casos  uso  existe  requerimiento   altas  bajas   vehiculos     existen vehiculos registrados   casos  usos registrar contrato  furgoneta  automovil  existe  secuencia logica    consulta si existe    reserva  dicho vehiculo    quiere generar  contrato",-1
"Documento:  caratula  errores ortograficos",1
"Estructura:   facil  entender    casos  uso   estan bien definidos   ultimo  casos  uso    relacion   caso  islas",-1
"Procedimiento:    utilizado  extends  herencia   caso  estudio     logica requerida   respectiva factibilidad",-1
"Funcionamiento:  cumple    requerimientos solicitados    funcionalidades",-1
"Documento: excelente presentacion   caratula contiene   elementos requeridos",1
"Estructura: falto ubicar  codigo  orden  cada caso  uso",-1
"Procedimiento:  casos  uso  presenta  correcta secuencia logica  ejemplo  caso  uso consultar reserva  validar reserva  presenta logica alguna",-1
"Funcionamiento:  diagrama  caso  uso  presenta  correcta funcionabilidad debido   falta  correctas interacciones",-1
"Documento: si posee   parametros indicados   caratula   posee errores ortograficos",1
"Estructura:  estructura   ordenada dificultando  entendimiento  diagrama  sintaxis utilizada    correcta  casos  uso  presentan  verbo  infinitivo mas  objeto  casos  uso  presentan codigo  existen islas",-1
"Procedimiento:  solucion presentada  pocos procesos  secuencia logica    correcta aplicacion  include  extend",-1
"Funcionamiento:  solucion  posee  correcta funcionalidad     requerimientos  caso  estudio ademas  casos  uso  demuestran  interaccion   objeto",-1
"Documento:  caratula contiene errores ortograficos",-1
"Estructura:  documento   sintaxis  contiene  codigo  cada caso  uso respectivo",-1
"Procedimiento:  documento contiene  manera correcta  procesos",1
"Funcionamiento:  solucion solo cumple   requerimientos especialmente   requerimientos  empleado  tomar  empleado  sistema",0
"Documento:  estructura   caratula   contenido  correctos    descripcion  problema    encontrado faltas ortograficas",1
"Estructura:  casos  uso estan separados   islas  sentido   flechas   include   extend depende   funcionalidad  existen   codigo  casos  uso  sistema    usuario     estructura  visualiza  dificultad debido   contiene  elementos  sintaxis   correcta    ordenada",-1
"Procedimiento: usa  forma incorrecta  include  extend  existe ninguna herencia  actores   herencia  casos  usos existente   ninguna secuencia logica    correcta asociacion  actores  casos  uso      procesos correctos    nula secuencia logica   documento",-1
